,Ticker,Name,Weight
0,600519 CH Equity,Kweichow Moutai Co Ltd,6.159619
1,300750 CH Equity,Contemporary Amperex Technology Co Ltd,3.665532
2,601318 CH Equity,Ping An Insurance Group Co of China Ltd,2.428359
3,600036 CH Equity,China Merchants Bank Co Ltd,2.17796
4,000858 CH Equity,Wuliangye Yibin Co Ltd,1.715305
5,601012 CH Equity,LONGi Green Energy Technology Co Ltd,1.674253
6,002594 CH Equity,BYD Co Ltd,1.481293
7,600900 CH Equity,China Yangtze Power Co Ltd,1.37836
8,601166 CH Equity,Industrial Bank Co Ltd,1.345449
9,000333 CH Equity,Midea Group Co Ltd,1.321378
10,300059 CH Equity,East Money Information Co Ltd,1.235355
11,002475 CH Equity,Luxshare Precision Industry Co Ltd,0.99715
12,600030 CH Equity,CITIC Securities Co Ltd,0.989658
13,601888 CH Equity,China Tourism Group Duty Free Corp Ltd,0.976993
14,600887 CH Equity,YILI,0.95887
15,603259 CH Equity,WuXi AppTec Co Ltd,0.953813
16,000568 CH Equity,Luzhou Laojiao Co Ltd,0.848747
17,002714 CH Equity,Muyuan Foods Co Ltd,0.814424
18,600276 CH Equity,Jiangsu Hengrui Medicine Co Ltd,0.805887
19,600438 CH Equity,Tongwei Co Ltd,0.796358
20,601398 CH Equity,ICBC,0.791163
21,300760 CH Equity,Shenzhen Mindray Bio-Medical Electronics,0.7427
22,000651 CH Equity,Gree Electric Appliances Inc of Zhuhai,0.741983
23,000725 CH Equity,BOE Technology Group Co Ltd,0.73964
24,002415 CH Equity,HIKVISION,0.736209
25,600809 CH Equity,Shanxi Fen Wine,0.726836
26,600309 CH Equity,Wanhua Chemical Group Co Ltd,0.719885
27,300274 CH Equity,Sungrow Power Supply Co Ltd,0.719784
28,601899 CH Equity,Zijin Mining Group Co Ltd,0.686659
29,300498 CH Equity,Wens Foodstuffs Group Co Ltd,0.659208
30,601328 CH Equity,Bank of Communications Co Ltd,0.65299
31,000792 CH Equity,Qinghai Salt Lake Industry Co Ltd,0.645706
32,000001 CH Equity,Ping An Bank Co Ltd,0.638939
33,600048 CH Equity,PRE,0.624258
34,002466 CH Equity,Tianqi Lithium Corp,0.620615
35,002129 CH Equity,TZE,0.605962
36,300014 CH Equity,Eve Energy Co Ltd,0.597963
37,002142 CH Equity,Bank of Ningbo Co Ltd,0.591103
38,300124 CH Equity,Shenzhen Inovance Technology Co Ltd,0.580785
39,603288 CH Equity,Foshan Haitian Flavouring & Food Co Ltd,0.565407
40,000002 CH Equity,China Vanke Co Ltd,0.565152
41,002812 CH Equity,Yunnan Energy New Material Co Ltd,0.556031
42,601668 CH Equity,CSCEC,0.544091
43,002304 CH Equity,YANGHE,0.542141
44,601088 CH Equity,China Shenhua Energy Co Ltd,0.537234
45,300015 CH Equity,Aier Eye Hospital Group Co Ltd,0.534182
46,603799 CH Equity,Zhejiang Huayou Cobalt Co Ltd,0.53069
