,0
000001 CH Equity,0.00037573541970677
000002 CH Equity,3.792008805638616e-05
000063 CH Equity,0.0004732370006776694
000066 CH Equity,0.0006018745565519482
000069 CH Equity,-0.0001461937597097858
000100 CH Equity,0.0005104961734234728
000157 CH Equity,0.000454454123511994
000166 CH Equity,-0.00010682020544370744
000301 CH Equity,0.0016720859646297236
000333 CH Equity,0.00046680649037886246
000338 CH Equity,0.0007507189552894502
000408 CH Equity,0.0011638221934200611
000425 CH Equity,0.0005166838912105877
000538 CH Equity,0.00018323243483662997
000568 CH Equity,0.0015735414586463825
000596 CH Equity,0.0018029593079464817
000625 CH Equity,0.0011302473027790959
000651 CH Equity,5.436409421997633e-05
000661 CH Equity,0.001246466776221537
000703 CH Equity,0.0003579648997032269
000708 CH Equity,0.001199884599795856
000725 CH Equity,0.00038482745183110207
000768 CH Equity,0.0006958471913160584
000776 CH Equity,0.00023208798425948014
000786 CH Equity,0.0008735698958161272
000792 CH Equity,7.60957277925626e-05
000800 CH Equity,0.0001757955088921019
000858 CH Equity,0.001259313134229567
000876 CH Equity,0.000948914336942095
000877 CH Equity,0.000248490795182762
000895 CH Equity,0.0003641787471252793
000938 CH Equity,0.0003057603901938967
000963 CH Equity,0.0008901889797063936
000977 CH Equity,0.0008770054805425824
001289 CH Equity,0.0019457224275042494
001979 CH Equity,7.195599671131069e-05
002001 CH Equity,0.0011909816645120767
002007 CH Equity,0.0006754473831128083
002008 CH Equity,0.0002830554345389389
002027 CH Equity,0.00030460792568498573
002032 CH Equity,0.0005031640173275594
002049 CH Equity,0.0023626915025090588
002050 CH Equity,0.001273415062245517
002064 CH Equity,0.000659486481542786
002074 CH Equity,0.0008442666573525063
002120 CH Equity,0.0002831220944705876
002129 CH Equity,0.002140597561687526
002142 CH Equity,0.0007549668357781268
002179 CH Equity,0.0013127354420780371
002202 CH Equity,0.0005678933449569326
002230 CH Equity,0.0003556068567852926
002236 CH Equity,3.591724998740974e-05
002241 CH Equity,0.0009390586008266231
002252 CH Equity,-0.0007519010818840947
002271 CH Equity,0.001128438668304397
002304 CH Equity,0.00091320038736372
002311 CH Equity,0.0013396331584457706
002352 CH Equity,0.00023231978687561952
002371 CH Equity,0.0028337911260507363
002410 CH Equity,0.0013306195403926149
002414 CH Equity,0.0014046866163585088
002415 CH Equity,0.0003352325971448478
002459 CH Equity,0.0021505164874497064
002460 CH Equity,0.0014646720815991823
002466 CH Equity,0.0014792063728986601
002475 CH Equity,0.001703859346547623
002493 CH Equity,0.0013544994513783341
002555 CH Equity,0.0004730296852458849
002568 CH Equity,0.0014336961564644821
002594 CH Equity,0.0020700685417089954
002600 CH Equity,0.00030629031310569976
002601 CH Equity,0.0003663035813613874
002602 CH Equity,-0.000422861263788128
002607 CH Equity,0.0006614997089119626
002648 CH Equity,0.0013973239529792973
002709 CH Equity,0.002134173432758201
002714 CH Equity,0.0021094518367683083
002736 CH Equity,-9.169533701423445e-05
002791 CH Equity,0.0017969946437789328
002812 CH Equity,0.002145094746167965
002821 CH Equity,0.0016700958093999868
002841 CH Equity,0.0006883067375979513
002916 CH Equity,0.002479707248802509
002920 CH Equity,0.0024715071796964187
002938 CH Equity,0.0013048437610850261
003816 CH Equity,0.0005330794031795888
300003 CH Equity,0.00021525084250588288
300014 CH Equity,0.0025036482755118813
300015 CH Equity,0.001878130847377461
300033 CH Equity,0.0008553011765263076
300059 CH Equity,0.0015645403690691135
300122 CH Equity,0.0017891854830614394
300124 CH Equity,0.0014351661288913022
300142 CH Equity,0.0016050956582359993
300207 CH Equity,0.001437618575061899
300223 CH Equity,0.0018536530673694935
300274 CH Equity,0.0027847334317405745
300316 CH Equity,0.0021845828559821307
300347 CH Equity,0.0019184272143615698
300408 CH Equity,0.000673730014864142
300413 CH Equity,0.001235732694130842
300433 CH Equity,6.687258586851183e-05
300450 CH Equity,0.0014950938373653046
300454 CH Equity,0.0017019145552283586
300496 CH Equity,0.001730648978058879
300498 CH Equity,0.0006100389660274443
300529 CH Equity,0.0012790951535450099
300595 CH Equity,0.0020766394541926574
300601 CH Equity,0.00146252506344772
300628 CH Equity,0.001365525643570242
300661 CH Equity,0.002963047351888379
300750 CH Equity,0.003569558434385707
300751 CH Equity,0.004428997764434503
300759 CH Equity,0.003738114960228122
300760 CH Equity,0.0023577976856009085
300763 CH Equity,0.00559664128785225
300782 CH Equity,0.0043639099585746485
300866 CH Equity,0.0015495845128620986
300896 CH Equity,0.007222657997850107
300919 CH Equity,0.0012725188456281468
300957 CH Equity,0.0009854793966458445
300979 CH Equity,0.005009312483283929
300999 CH Equity,0.0026885616572366842
600000 CH Equity,-0.00036455030128903376
600009 CH Equity,0.0007167001295598081
600010 CH Equity,0.00019272100678488936
600011 CH Equity,0.0005201094613217103
600015 CH Equity,-0.0003655489915493445
600016 CH Equity,-0.0004768192250556859
600018 CH Equity,0.00012623784674889343
600019 CH Equity,-1.1591111204754245e-05
600025 CH Equity,0.0014670262170000585
600028 CH Equity,-0.00011215610273289023
600029 CH Equity,5.2916293785957e-05
600030 CH Equity,0.0004134288933306332
600031 CH Equity,0.0008219391403104202
600036 CH Equity,0.0004628839113190237
600048 CH Equity,0.0007536207692301825
600050 CH Equity,-0.00044254814370601526
600061 CH Equity,-5.07562211329641e-05
600085 CH Equity,0.0006228258742639782
600089 CH Equity,0.0011164140319702876
600104 CH Equity,-0.00032586063030961264
600111 CH Equity,0.0009583532069364522
600115 CH Equity,-6.015776465596195e-05
600132 CH Equity,0.0016926135645334772
600150 CH Equity,0.0005185983702324793
600161 CH Equity,0.0008137687486658589
600176 CH Equity,0.0009587904638515022
600183 CH Equity,0.000826052936654536
600188 CH Equity,0.0016290795057613335
600196 CH Equity,0.0008280698289495211
600219 CH Equity,0.0003480593679969429
600276 CH Equity,0.0005987792139163723
600309 CH Equity,0.0012624533538698704
600332 CH Equity,0.0003751800543899735
600346 CH Equity,0.001281602069982856
600352 CH Equity,0.0002533463966016528
600362 CH Equity,0.00032998589520383227
600383 CH Equity,0.0004414315737551456
600406 CH Equity,0.0010847400081646225
600426 CH Equity,0.0014918707723689838
600436 CH Equity,0.0017609367682618257
600438 CH Equity,0.002393418570452923
600460 CH Equity,0.0021722654691979427
600489 CH Equity,-0.00017390022638703807
600519 CH Equity,0.0013337496590475626
600547 CH Equity,0.0003529225008047036
600570 CH Equity,0.0010688468910187775
600584 CH Equity,0.0008753901992834827
600585 CH Equity,0.0005128791283946661
600588 CH Equity,0.0012215449523221573
600600 CH Equity,0.0013952085756339175
600606 CH Equity,-0.00035804439028281357
600655 CH Equity,6.418918798779164e-05
600660 CH Equity,0.0007635349147719786
600690 CH Equity,0.0008044500077994711
600741 CH Equity,0.0002555667556371369
600745 CH Equity,0.0015680195141602779
600760 CH Equity,0.001270521116120977
600763 CH Equity,0.0018950997269316157
600795 CH Equity,0.0003169041035400173
600809 CH Equity,0.002408171758547992
600837 CH Equity,-0.00015331558530025542
600845 CH Equity,0.001773658504252871
600886 CH Equity,0.000568672302172828
600887 CH Equity,0.0006379465213719552
600893 CH Equity,0.000864216811878028
600900 CH Equity,0.0004932968808860102
600905 CH Equity,0.0037667270060817663
600918 CH Equity,0.0017076602254066263
600919 CH Equity,-1.663858053831965e-05
600926 CH Equity,0.0005184246503690427
600941 CH Equity,0.0010142300014824293
600958 CH Equity,-7.809334185755503e-05
600989 CH Equity,0.0009105737884781258
600999 CH Equity,4.623119055863116e-05
601006 CH Equity,-0.00018130122803646984
601009 CH Equity,0.0004397478355289319
601012 CH Equity,0.002254211054795505
601021 CH Equity,0.0007462547061566292
601066 CH Equity,0.0018093407927957995
601088 CH Equity,0.000682968436805172
601100 CH Equity,0.0019211276943309284
601111 CH Equity,0.0004693318492501222
601117 CH Equity,0.0004693571972288896
601138 CH Equity,7.089032048085285e-05
601155 CH Equity,0.0006498969651311635
601166 CH Equity,0.00026018683197368323
601169 CH Equity,-0.0003489224809897582
601186 CH Equity,-0.0002272926334836528
601211 CH Equity,-2.1168010822953425e-05
601216 CH Equity,0.0002445378688131219
601225 CH Equity,0.0011553123018018896
601229 CH Equity,-0.0003916571596375637
601236 CH Equity,0.002043869311084244
601238 CH Equity,0.00013895183976379014
601288 CH Equity,-8.595978234860709e-05
601318 CH Equity,5.664878225069644e-05
601319 CH Equity,0.0007483073733443803
601328 CH Equity,-0.00023688165172577416
601336 CH Equity,-0.0003717587940534565
601360 CH Equity,0.00023737564769190825
601377 CH Equity,0.00017326565927947138
601390 CH Equity,-0.00013426759508817116
601398 CH Equity,-9.506179701455084e-05
601600 CH Equity,0.00011909717308288037
601601 CH Equity,-0.00016763064212915933
601618 CH Equity,-5.7806699160313664e-05
601628 CH Equity,0.0003906804043669378
601633 CH Equity,0.0013498150003726011
601658 CH Equity,-0.00011958424345708068
601668 CH Equity,-7.511777943869343e-05
601669 CH Equity,0.0002441922511153661
601688 CH Equity,-0.00013905719634633697
601698 CH Equity,0.0024809084627221865
601728 CH Equity,-0.0004700000474536565
601766 CH Equity,-0.00036099339090204434
601788 CH Equity,0.0003797563260872183
601799 CH Equity,0.0014449889325300839
601800 CH Equity,-0.00031330861312675503
601808 CH Equity,0.0007160939924793787
601816 CH Equity,0.00021980982678420296
601818 CH Equity,-0.0002081604207506898
601825 CH Equity,-0.0015866128504210065
601838 CH Equity,0.000709063824928091
601857 CH Equity,-0.00020491513887036975
601865 CH Equity,0.004428889755992567
601868 CH Equity,-0.0005182886189249183
601877 CH Equity,0.000968042189618421
601878 CH Equity,-0.00013761706167089108
601881 CH Equity,6.285488312046499e-05
601888 CH Equity,0.0019605264570978494
601898 CH Equity,0.0007898434858734342
601899 CH Equity,0.001146845942380174
601901 CH Equity,0.0001597888276237704
601916 CH Equity,-0.00047085064290003473
601919 CH Equity,0.001278866758815655
601939 CH Equity,-7.296618856602485e-05
601966 CH Equity,0.0005471208109196149
601985 CH Equity,0.00010122066188500795
601988 CH Equity,-0.00012768703757725354
601989 CH Equity,-0.00022910455324067576
601995 CH Equity,0.0014258938992051647
601998 CH Equity,-0.00017005520243654784
603019 CH Equity,0.0010364902573392833
603087 CH Equity,0.0002974023733570036
603160 CH Equity,0.0001279383119967896
603185 CH Equity,0.003596510215610879
603195 CH Equity,0.0020526246839216423
603259 CH Equity,0.0023801690302296535
603260 CH Equity,0.002495778494405896
603288 CH Equity,0.001307056804646281
603290 CH Equity,0.006640639312489808
603369 CH Equity,0.0013607968549912484
603392 CH Equity,0.006957534007228889
603486 CH Equity,0.002062991078182624
603501 CH Equity,0.002290498957093213
603659 CH Equity,0.002789286210512617
603799 CH Equity,0.0016483865678691549
603806 CH Equity,0.002088648302846458
603833 CH Equity,0.0008891952259158277
603882 CH Equity,0.0025317848420631337
603899 CH Equity,0.0009935567182718778
603986 CH Equity,0.0019672198057481397
603993 CH Equity,0.0003593722047054158
605499 CH Equity,0.00485189649336597
688005 CH Equity,0.00345246102236111
688008 CH Equity,0.002995619027392563
688012 CH Equity,0.00401075831570131
688036 CH Equity,0.002113383494407387
688065 CH Equity,-1.8798133145769087e-05
688111 CH Equity,0.00379341680371274
688126 CH Equity,0.005087259694613717
688169 CH Equity,0.0019922701565317827
688363 CH Equity,0.002475828084493739
688396 CH Equity,0.004815581968396322
688561 CH Equity,0.001236307169159147
688599 CH Equity,0.005598108726484848
