,0
000001 CH Equity,33333.0
000002 CH Equity,33333.0
000063 CH Equity,33333.0
000066 CH Equity,33333.0
000069 CH Equity,33333.0
000100 CH Equity,33333.0
000157 CH Equity,33333.0
000166 CH Equity,33333.0
000301 CH Equity,33333.0
000333 CH Equity,33333.0
000338 CH Equity,33333.0
000408 CH Equity,33333.0
000425 CH Equity,33333.0
000538 CH Equity,33333.0
000568 CH Equity,33333.0
000596 CH Equity,33333.0
000625 CH Equity,33333.0
000651 CH Equity,33333.0
000661 CH Equity,33333.0
000703 CH Equity,33333.0
000708 CH Equity,33333.0
000725 CH Equity,33333.0
000768 CH Equity,33333.0
000776 CH Equity,0.0
000786 CH Equity,33333.0
000792 CH Equity,33333.0
000800 CH Equity,33333.0
000858 CH Equity,33333.0
000876 CH Equity,33333.0
000877 CH Equity,33333.0
000895 CH Equity,33333.0
000938 CH Equity,0.0
000963 CH Equity,33333.0
000977 CH Equity,33333.0
001289 CH Equity,33333.0
001979 CH Equity,33333.0
002001 CH Equity,33333.0
002007 CH Equity,33333.0
002008 CH Equity,0.0
002027 CH Equity,0.0
002032 CH Equity,33333.0
002049 CH Equity,33333.0
002050 CH Equity,33333.0
002064 CH Equity,33333.0
002074 CH Equity,0.0
002120 CH Equity,33333.0
002129 CH Equity,33333.0
002142 CH Equity,33333.0
002179 CH Equity,33333.0
002202 CH Equity,33333.0
002230 CH Equity,33333.0
002236 CH Equity,0.0
002241 CH Equity,33333.0
002252 CH Equity,0.0
002271 CH Equity,33333.0
002304 CH Equity,33333.0
002311 CH Equity,33333.0
002352 CH Equity,33333.0
002371 CH Equity,33333.0
002410 CH Equity,33333.0
002414 CH Equity,33333.0
002415 CH Equity,33333.0
002459 CH Equity,33333.0
002460 CH Equity,33333.0
002466 CH Equity,33333.0
002475 CH Equity,33333.0
002493 CH Equity,33333.0
002555 CH Equity,33333.0
002568 CH Equity,33333.0
002594 CH Equity,33333.0
002600 CH Equity,33333.0
002601 CH Equity,0.0
002602 CH Equity,0.0
002607 CH Equity,33333.0
002648 CH Equity,33333.0
002709 CH Equity,33333.0
002714 CH Equity,33333.0
002736 CH Equity,33333.0
002791 CH Equity,33333.0
002812 CH Equity,33333.0
002821 CH Equity,33333.0
002841 CH Equity,33333.0
002916 CH Equity,33333.0
002920 CH Equity,33333.0
002938 CH Equity,33333.0
003816 CH Equity,33333.0
300003 CH Equity,33333.0
300014 CH Equity,33333.0
300015 CH Equity,33333.0
300033 CH Equity,33333.0
300059 CH Equity,33333.0
300122 CH Equity,33333.0
300124 CH Equity,33333.0
300142 CH Equity,33333.0
300207 CH Equity,33333.0
300223 CH Equity,33333.0
300274 CH Equity,33333.0
300316 CH Equity,33333.0
300347 CH Equity,33333.0
300408 CH Equity,33333.0
300413 CH Equity,33333.0
300433 CH Equity,0.0
300450 CH Equity,33333.0
300454 CH Equity,33333.0
300496 CH Equity,33333.0
300498 CH Equity,33333.0
300529 CH Equity,33333.0
300595 CH Equity,33333.0
300601 CH Equity,33333.0
300628 CH Equity,33333.0
300661 CH Equity,33333.0
300750 CH Equity,33333.0
300751 CH Equity,33333.0
300759 CH Equity,33333.0
300760 CH Equity,33333.0
300763 CH Equity,33333.0
300782 CH Equity,33333.0
300866 CH Equity,33333.0
300896 CH Equity,300000.0
300919 CH Equity,33333.0
300957 CH Equity,33333.0
300979 CH Equity,33333.0
300999 CH Equity,33333.0
